node_id,n_pairs,n_samples_tot,pooled_std_mm,pooled_std_m,mean_bias_mm
108,2,94,53.889,0.053889,-282.6
113,3,142,34.997,0.034997,-152.07
114,4,190,45.641,0.045641,-226.4
115,4,190,34.56,0.03456,-197.75
116,5,238,51.11,0.05111,-370.78
117,5,238,28.806,0.028806,-230.18
118,3,142,94.841,0.094841,-216.93
119,4,190,47.999,0.047999,-235.2
121,5,238,77.544,0.077544,-237.76
122,5,238,48.053,0.048053,-277.18
123,5,238,38.19,0.03819,-237.08
124,5,238,40.892,0.040892,-139.94
125,5,238,44.389,0.044389,-237.14
126,5,238,41.401,0.041401,-319.74
127,5,238,47.268,0.047268,-272.74
128,5,238,46.767,0.046767,-199.1
129,4,190,245.109,0.245109,765.3
130,5,238,191.651,0.191651,246.38
131,5,238,46.669,0.046669,-339.08
132,5,238,37.915,0.037915,-178.82
133,5,238,33.341,0.033341,-70.34
134,5,238,40.66,0.04066,-255.58
135,5,238,57.848,0.057848,-188.46
136,5,237,59.9,0.0599,-149.74
137,5,238,50.632,0.050632,-192.06
138,5,237,40.304,0.040304,-180.94
139,5,238,59.709,0.059709,-279.22
140,5,238,48.008,0.048008,-229.78
141,5,237,43.587,0.043587,-242.7
142,5,239,47.823,0.047823,-211.48
143,5,238,54.12,0.05412,-896.64
144,5,332,41.542,0.041542,-901.96
145,5,458,244.512,0.244512,2262.06
146,5,469,119.933,0.119933,2802.98
147,5,238,67.164,0.067164,399.74
148,5,238,38.236,0.038236,44.8
149,5,238,42.783,0.042783,146.66
150,4,191,43.327,0.043327,-399.48
151,5,236,146.883,0.146883,1660.0
152,4,190,438.731,0.438731,685.72
153,4,191,80.646,0.080646,854.6
154,3,141,33.797,0.033797,-44.03
