node_id,job_id,responders
50,51152,"[65, 70, 75, 51, 62]"
51,51153,"[62, 64, 75, 50, 52]"
52,51154,"[63, 61, 58, 53, 51]"
53,51155,"[58, 57, 61, 54, 55]"
54,51156,"[55, 56, 53, 58, 57]"
55,51157,"[54, 56, 57, 53, 58]"
56,51158,"[55, 54, 57, 58, 53]"
57,51159,"[58, 53, 61, 56, 55]"
58,51160,"[53, 57, 61, 56, 55]"
61,51161,"[58, 52, 53, 63, 57]"
62,51162,"[51, 64, 75, 50, 65]"
63,51163,"[52, 61, 58, 64, 57]"
64,51164,"[62, 51, 75, 76, 70]"
65,51165,"[70, 50, 75, 76, 71]"
70,51166,"[65, 76, 75, 71, 50]"
71,51167,"[76, 77, 74, 70, 72]"
72,51168,"[77, 73, 71, 74, 76]"
73,51169,"[77, 72, 74, 71, 76]"
74,51170,"[76, 77, 71, 75, 73]"
75,51171,"[76, 70, 64, 65, 74]"
76,51172,"[75, 70, 71, 74, 77]"
77,51173,"[72, 73, 74, 71, 76]"
