node_id,n_pairs,n_samples_tot,pooled_std_mm,pooled_std_m,mean_bias_mm
50,5,160,83.435,0.083435,-143.3
51,5,192,232.137,0.232137,28.68
52,5,231,79.07,0.07907,-255.68
53,5,237,49.443,0.049443,-174.3
54,5,236,49.642,0.049642,-142.82
55,5,238,63.624,0.063624,-399.88
56,5,237,39.506,0.039506,43.66
57,5,239,41.487,0.041487,-262.0
58,5,237,43.288,0.043288,-213.06
61,5,238,52.07,0.05207,-182.66
62,5,194,254.93,0.25493,380.92
63,5,238,38.227,0.038227,-113.42
64,5,125,877.877,0.877877,4524.62
65,5,97,126.076,0.126076,329.66
70,5,149,65.838,0.065838,-166.26
71,5,173,77.176,0.077176,-449.96
72,5,150,55.755,0.055755,-260.88
73,5,120,45.337,0.045337,-119.72
74,5,150,52.219,0.052219,-119.16
75,5,157,781.087,0.781087,1775.74
76,5,205,41.491,0.041491,-760.34
77,5,194,81.152,0.081152,-181.66
