init_id,resp_id,n_samples,mean_mm,std_mm,var_mm2,min_mm,max_mm,true_dist_mm,bias_mm
50,51,43,14800.65,46.12,2127.11,14680,14875,14998.0,-197.4
50,62,44,14731.34,54.43,2962.72,14587,14840,15193.8,-462.5
50,65,47,6030.98,61.44,3774.74,5909,6160,5980.0,50.9
50,70,16,10888.81,43.06,1854.53,10794,10937,11015.8,-127.0
50,75,10,13641.9,155.2,24087.49,13414,13906,13622.4,19.5
51,50,45,14761.71,52.1,2714.21,14643,14840,14998.0,-236.3
51,52,45,15419.67,120.31,14475.02,15227,15754,15592.0,-172.3
51,62,47,2265.74,49.59,2458.7,2159,2356,2530.1,-264.3
51,64,48,5666.83,58.64,3438.97,5513,5755,5844.6,-177.8
51,75,7,13941.0,496.34,246350.57,13240,14828,12946.9,994.1
52,51,45,15342.76,138.0,19043.7,15086,15595,15592.0,-249.2
52,53,46,14792.91,57.41,3295.95,14645,14915,15010.0,-217.1
52,58,45,14275.82,40.9,1673.17,14146,14354,14415.5,-139.7
52,61,48,7540.44,55.88,3122.41,7410,7635,7871.1,-330.7
52,63,47,5498.72,64.22,4124.75,5323,5597,5840.4,-341.7
53,54,48,10617.35,72.66,5279.4,10414,10745,10982.8,-365.5
53,55,47,11339.74,18.67,348.74,11296,11381,11320.9,18.8
53,57,47,5550.62,62.24,3874.32,5386,5644,5825.8,-275.2
53,58,47,2578.94,40.57,1645.8,2476,2687,2669.1,-90.1
53,61,48,7815.77,32.79,1074.88,7746,7872,7975.3,-159.5
54,53,47,10706.53,63.97,4092.33,10525,10851,10982.8,-276.3
54,55,47,2495.53,26.49,701.48,2438,2572,2300.5,195.0
54,56,48,5219.77,52.31,2736.59,5074,5318,5663.9,-444.2
54,57,46,11907.63,55.0,3024.84,11772,11986,12080.7,-173.1
54,58,48,12004.65,42.03,1766.48,11887,12082,12020.2,-15.5
55,53,48,10892.94,54.17,2934.06,10733,10980,11320.9,-428.0
55,54,47,1965.79,69.17,4784.51,1815,2138,2300.5,-334.8
55,56,48,2617.06,56.29,3168.77,2467,2725,3388.3,-771.2
55,57,48,10979.42,87.45,7647.49,10766,11102,11255.5,-276.1
55,58,47,11660.7,41.29,1705.06,11559,11739,11850.0,-189.3
56,53,47,12016.13,32.98,1087.56,11936,12094,12004.3,11.8
56,54,48,5612.77,54.33,2952.09,5415,5710,5663.9,-51.2
56,55,47,3382.32,25.48,649.37,3325,3438,3388.3,-6.0
56,57,47,10246.38,49.56,2456.02,10128,10325,10200.2,46.1
56,58,48,11984.5,25.67,658.75,11925,12035,11766.9,217.6
57,53,48,5514.88,36.85,1357.98,5424,5565,5825.8,-310.9
57,55,48,11205.77,30.01,900.34,11116,11249,11255.5,-49.7
57,56,48,9693.79,53.9,2905.29,9570,9779,10200.2,-506.4
