"NodeId","Zone","Coordinates","evb1000"
"50","HALL-A","[56.89, 0.82]","05:c3:22:08:4b:94:c2:1e"
"51","HALL-A","[41.892, 0.83]","05:c3:22:08:4b:94:cb:1f"
"52","HALL-A","[26.3, 0.83]","05:c3:22:08:4b:94:c2:22"
"53","HALL-A","[11.29, 0.83]","05:c3:22:08:4b:94:9b:8c"
"54","HALL-A","[0.31, 1.08]","01:3a:61:02:c4:c2:11:81"
"55","HALL-A","[0.26, 3.38]","0d:bb:41:41:10:43:5c:a8"
"56","HALL-A","[0.83, 6.72]","10:20:5f:83:10:00:0a:a0"
"57","HALL-A","[11.03, 6.65]","05:c3:22:08:4b:92:53:1e"
"58","HALL-A","[12.11, 3.37]","0d:bb:41:41:50:43:85:99"
"61","HALL-A","[18.85, 3.37]","0d:bb:41:41:10:43:58:8d"
"62","HALL-A","[41.91, 3.36]","04:32:51:02:01:64:18:06"
"63","HALL-A","[26.37, 6.67]","05:c3:22:08:4b:94:ca:3a"
"64","HALL-A","[41.66, 6.67]","01:3a:61:02:c4:c2:0c:8b"
"65","HALL-A","[56.91, 6.8]","05:c3:22:08:4b:92:51:00"
"70","HALL-A","[55.23, 11.71]","10:20:5f:49:10:00:2e:51"
"71","HALL-A","[55.24, 21.3]","04:02:c1:86:d2:10:8a:91"
"72","HALL-A","[55.23, 31.51]","04:32:51:02:01:64:11:a3"
"73","HALL-A","[48.8, 31.53]","05:c3:22:08:4b:94:c7:b9"
"74","HALL-A","[48.8, 21.39]","04:32:51:02:41:64:13:a6"
"75","HALL-A","[48.8, 11.78]","04:02:c1:86:d2:10:84:bb"
"76","HALL-A","[51.97, 16.35]","04:32:51:02:41:64:12:11"
"77","HALL-A","[52.04, 26.48]","04:32:51:02:41:64:0f:8f"
